generation,best_time,experiment,technique,rep
0,51834608550768.734,rosenbrock,RandomNelderMead,2
0,5669298050489.7295,rosenbrock,RandomNelderMead,2
2,1681740220577.2583,rosenbrock,RandomNelderMead,2
4,68370488872.52063,rosenbrock,RandomNelderMead,2
10,7267625551.045383,rosenbrock,RandomNelderMead,2
13,1627758147.0133936,rosenbrock,RandomNelderMead,2
15,86202491.5339722,rosenbrock,RandomNelderMead,2
21,5205.494014220219,rosenbrock,RandomNelderMead,2
53,4173.45754685861,rosenbrock,RandomNelderMead,2
55,1329.2227729654405,rosenbrock,RandomNelderMead,2
58,1223.023175488102,rosenbrock,RandomNelderMead,2
60,934.7188461338894,rosenbrock,RandomNelderMead,2
62,749.1310192643714,rosenbrock,RandomNelderMead,2
64,493.03484997550936,rosenbrock,RandomNelderMead,2
67,418.6813662271479,rosenbrock,RandomNelderMead,2
69,353.1355116959624,rosenbrock,RandomNelderMead,2
75,351.3466163158924,rosenbrock,RandomNelderMead,2
77,345.01398084115345,rosenbrock,RandomNelderMead,2
81,343.61024971266175,rosenbrock,RandomNelderMead,2
85,343.39095578818893,rosenbrock,RandomNelderMead,2
86,343.0590352341564,rosenbrock,RandomNelderMead,2
89,342.953183313137,rosenbrock,RandomNelderMead,2
90,342.70401143104147,rosenbrock,RandomNelderMead,2
94,342.4466064957383,rosenbrock,RandomNelderMead,2
