generation,best_time,experiment,technique,rep
0,0.030864715576171875,mmm,PSO_GA_Bandit,3
2,0.029846668243408203,mmm,PSO_GA_Bandit,3
3,0.028942584991455078,mmm,PSO_GA_Bandit,3
8,0.028074264526367188,mmm,PSO_GA_Bandit,3
10,0.028067588806152344,mmm,PSO_GA_Bandit,3
15,0.02786111831665039,mmm,PSO_GA_Bandit,3
23,0.02784252166748047,mmm,PSO_GA_Bandit,3
