generation,best_time,experiment,technique,rep
0,644.0,tsp,AUCBanditMetaTechniqueA,1
0,520.0,tsp,AUCBanditMetaTechniqueA,1
7,497.0,tsp,AUCBanditMetaTechniqueA,1
