generation,best_time,experiment,technique,rep
0,1648713808370.0388,rosenbrock,RandomNelderMead,3
0,97939392947.54909,rosenbrock,RandomNelderMead,3
0,31816774.315044243,rosenbrock,RandomNelderMead,3
16,15427656.884865541,rosenbrock,RandomNelderMead,3
18,12447335.184005346,rosenbrock,RandomNelderMead,3
21,857113.5678843927,rosenbrock,RandomNelderMead,3
25,392900.72582188604,rosenbrock,RandomNelderMead,3
33,128091.23956257556,rosenbrock,RandomNelderMead,3
35,17951.479462364252,rosenbrock,RandomNelderMead,3
43,14708.252973346309,rosenbrock,RandomNelderMead,3
45,5701.775662964682,rosenbrock,RandomNelderMead,3
48,3057.774721290707,rosenbrock,RandomNelderMead,3
51,1040.4152684925639,rosenbrock,RandomNelderMead,3
54,717.6609536288072,rosenbrock,RandomNelderMead,3
56,690.132391980053,rosenbrock,RandomNelderMead,3
58,557.3049130685495,rosenbrock,RandomNelderMead,3
60,177.30940933318175,rosenbrock,RandomNelderMead,3
65,133.6189307123912,rosenbrock,RandomNelderMead,3
69,116.030985025104,rosenbrock,RandomNelderMead,3
72,106.65766063820604,rosenbrock,RandomNelderMead,3
74,103.49964850950518,rosenbrock,RandomNelderMead,3
80,103.24597379379367,rosenbrock,RandomNelderMead,3
82,102.81950475256434,rosenbrock,RandomNelderMead,3
83,102.18258826940911,rosenbrock,RandomNelderMead,3
85,102.10251050127582,rosenbrock,RandomNelderMead,3
87,101.20225058700952,rosenbrock,RandomNelderMead,3
90,100.29063680547473,rosenbrock,RandomNelderMead,3
94,99.56890317038545,rosenbrock,RandomNelderMead,3
96,99.44211669949476,rosenbrock,RandomNelderMead,3
